# === Session metadata ===
# consent_name: Ahmad
# consent_ts: 2025-10-29 12:59:28.462913  UTC
# os: Windows
# username: ahmad
# app_version: EthicalKeystrokeViewer v3
# duration_sec: 210
# events_count: 226
# saved_at: 2025-10-29 13:02:46.183078  UTC
# ========================
timestamp,type,key,keysym,char,printable,note
2025-10-29 12:59:30.135145  UTC,KEY,g,g,g,True,
2025-10-29 12:59:30.196180  UTC,KEY,h,h,h,True,
2025-10-29 12:59:30.472981  UTC,KEY,y,y,y,True,
2025-10-29 12:59:30.610483  UTC,KEY, ,space, ,True,
2025-10-29 12:59:30.614656  UTC,KEY,f,f,f,True,
2025-10-29 12:59:30.729283  UTC,KEY,u,u,u,True,
2025-10-29 12:59:30.996344  UTC,KEY,i,i,i,True,
2025-10-29 12:59:31.094614  UTC,KEY,y,y,y,True,
2025-10-29 12:59:31.208906  UTC,KEY,8,8,8,True,
2025-10-29 12:59:31.227171  UTC,KEY,9,9,9,True,
2025-10-29 12:59:31.319400  UTC,KEY,[REDACTED],7,,False,AUTO-REDACTED
2025-10-29 12:59:31.461744  UTC,KEY,[REDACTED],v,,False,AUTO-REDACTED
2025-10-29 12:59:31.580937  UTC,KEY,[REDACTED],8,,False,AUTO-REDACTED
2025-10-29 12:59:31.604147  UTC,KEY,[REDACTED],6,,False,AUTO-REDACTED
2025-10-29 12:59:31.733220  UTC,KEY,[REDACTED],8,,False,AUTO-REDACTED
2025-10-29 12:59:31.736570  UTC,KEY,F8,F8,,False,
2025-10-29 12:59:31.873726  UTC,KEY,[REDACTED],6,,False,AUTO-REDACTED
2025-10-29 12:59:31.991533  UTC,KEY,[REDACTED],8,,False,AUTO-REDACTED
2025-10-29 12:59:32.154477  UTC,KEY,[REDACTED],space,,False,AUTO-REDACTED
2025-10-29 12:59:32.313041  UTC,KEY,[REDACTED],u,,False,AUTO-REDACTED
2025-10-29 12:59:32.440443  UTC,KEY,h,h,h,True,
2025-10-29 12:59:32.474873  UTC,KEY,b,b,b,True,
2025-10-29 12:59:32.632386  UTC,KEY,i,i,i,True,
2025-10-29 12:59:32.851302  UTC,KEY,7,7,7,True,
2025-10-29 12:59:33.054299  UTC,KEY,8,8,8,True,
2025-10-29 12:59:33.119424  UTC,KEY,[REDACTED],6,,False,AUTO-REDACTED
2025-10-29 12:59:33.243217  UTC,KEY,[REDACTED],7,,False,AUTO-REDACTED
2025-10-29 12:59:33.249312  UTC,KEY,[REDACTED],8,,False,AUTO-REDACTED
2025-10-29 12:59:33.391620  UTC,KEY,[REDACTED],v,,False,AUTO-REDACTED
